state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,random_stabilizer,pauli,3,64,75000,0.013930446870075658,16.201938218495535,0.04284
0,0,random_stabilizer,pauli,3,64,80000,0.014121270335168388,16.199093898712395,0.038474999999999995
0,0,random_stabilizer,pauli,3,64,85000,0.012603970031447767,16.199694592227146,0.03621176470588235
0,0,random_stabilizer,pauli,3,64,90000,0.012168957404213223,16.20204912673858,0.0384
0,0,random_stabilizer,pauli,3,64,95000,0.011115048538653388,16.20532828810452,0.03751578947368421
0,0,random_stabilizer,pauli,3,64,100000,0.010918208272193758,16.205107531300563,0.03888
0,0,random_stabilizer,clifford,3,64,1000,0.08942594701763007,9.009668918918926,0.18899999999999983
0,0,random_stabilizer,clifford,3,64,5000,0.04265435939033661,8.836338498324652,0.09719999999999998
0,0,random_stabilizer,clifford,3,64,10000,0.028732086810741728,8.905896306818583,0.06299999999999999
0,0,random_stabilizer,clifford,3,64,15000,0.020490500847953903,8.904176876167096,0.03959999999999999
0,0,random_stabilizer,clifford,3,64,20000,0.01921056431367906,8.913867272582426,0.03914999999999998
0,0,random_stabilizer,clifford,3,64,25000,0.015858293571503836,8.926608703873551,0.03347999999999999
0,0,random_stabilizer,clifford,3,64,30000,0.015888198253735393,8.922746552540326,0.032100000000000004
0,0,random_stabilizer,clifford,3,64,35000,0.015918045048411746,8.921052395909692,0.03188571428571429
0,0,random_stabilizer,clifford,3,64,40000,0.013592375648916206,8.920086686990832,0.0342
0,0,random_stabilizer,clifford,3,64,45000,0.013221951444472963,8.921804692327598,0.02419999999999999
0,0,random_stabilizer,clifford,3,64,50000,0.011917093815188363,8.920779523465857,0.0243
0,0,random_stabilizer,clifford,3,64,55000,0.01060299300875948,8.90972627610703,0.020472727272726754
0,0,random_stabilizer,clifford,3,64,60000,0.010133356890734723,8.915205276831886,0.017300000000000537
0,0,random_stabilizer,clifford,3,64,65000,0.01032725379072233,8.911242222709316,0.018969230769230766
0,0,random_stabilizer,clifford,3,64,70000,0.010530424973739277,8.912611745675672,0.021857142857142853
0,0,random_stabilizer,clifford,3,64,75000,0.0106965239680936,8.916093840626015,0.02108000000000043
0,0,random_stabilizer,clifford,3,64,80000,0.010535662326786271,8.921012231221514,0.021050000000000457
0,0,random_stabilizer,clifford,3,64,85000,0.010771085581410874,8.920749595473655,0.023823529411764705
0,0,random_stabilizer,clifford,3,64,90000,0.01040631569048341,8.921329896981138,0.027200000000000557
0,0,random_stabilizer,clifford,3,64,95000,0.00972354221461742,8.93003448598747,0.023536842105263744
0,0,random_stabilizer,clifford,3,64,100000,0.009144259127999427,8.928680044323679,0.019430000000000502
0,0,random_stabilizer,seeqst,3,64,1000,0.12564682646211164,15.263976851851833,0.288
0,0,random_stabilizer,seeqst,3,64,5000,0.0721170402886863,15.215479728445754,0.1536
0,0,random_stabilizer,seeqst,3,64,10000,0.045302179859251814,15.162726485148195,0.104
0,0,random_stabilizer,seeqst,3,64,15000,0.04040559642205797,15.20555609151685,0.10666666666666667
0,0,random_stabilizer,seeqst,3,64,20000,0.030595358103803923,15.181154231774872,0.0696
0,0,random_stabilizer,seeqst,3,64,25000,0.02442465557587253,15.185430853434985,0.07296
0,0,random_stabilizer,seeqst,3,64,30000,0.021529121105041807,15.215831191319511,0.048
0,0,random_stabilizer,seeqst,3,64,35000,0.020257630207718126,15.202372196195116,0.04845714285714286
0,0,random_stabilizer,seeqst,3,64,40000,0.018271291090806926,15.207230715689247,0.0424
0,0,random_stabilizer,seeqst,3,64,45000,0.01837641738885422,15.211608676364438,0.04017777777777778
0,0,random_stabilizer,seeqst,3,64,50000,0.016758258411899523,15.207229555371187,0.04288
0,0,random_stabilizer,seeqst,3,64,55000,0.013496220009523236,15.210302357545157,0.032
0,0,random_stabilizer,seeqst,3,64,60000,0.013381594947289882,15.200603442978263,0.03626666666666667
0,0,random_stabilizer,seeqst,3,64,65000,0.013803558412672865,15.198879829160639,0.033723076923076925
0,0,random_stabilizer,seeqst,3,64,70000,0.013916479641498627,15.198776135537143,0.034057142857142855
0,0,random_stabilizer,seeqst,3,64,75000,0.01456349011893938,15.200998918076223,0.03264
0,0,random_stabilizer,seeqst,3,64,80000,0.013222818522822597,15.207659002803107,0.0296
0,0,random_stabilizer,seeqst,3,64,85000,0.014024776333727146,15.215300691540069,0.030305882352941176
0,0,random_stabilizer,seeqst,3,64,90000,0.013629812832152418,15.213267292279145,0.034133333333333335
0,0,random_stabilizer,seeqst,3,64,95000,0.013519175362908626,15.212223413195623,0.03250526315789474
0,0,random_stabilizer,seeqst,3,64,100000,0.012025026247372634,15.210815631902651,0.028
