state_type,ensemble,term_group,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_terms,num_repeats
ground_state,pauli,zz_long_range,3000,0.04789121117448667,0.01407138599802826,8.604437245748569,0.10966791189716796,0.08554769842940214,0.030329012817869212,10,4
ground_state,seeqst,hopping,10,1.794156418381371,2.633370798205679,81.92000000000002,163.84000000000003,3.697796248108067,6.364773377993553,10,4
ground_state,seeqst,hopping,30,1.641982062554534,0.8741916153675119,109.22666666666657,89.18319987946565,3.2,1.8423208220601173,10,4
ground_state,seeqst,hopping,100,1.0570036456082765,0.4614965380699871,114.85349494949502,68.2658141116033,2.164131019441977,1.4809086796937494,10,4
ground_state,seeqst,hopping,300,0.5760304284093678,0.344124925200284,122.77040802675572,16.509685120684324,1.0934248018857549,0.7963911127429237,10,4
ground_state,seeqst,hopping,1000,0.4096051326650828,0.09218265242421643,134.1175543543536,8.283456115455397,0.7256528618927789,0.20018239917727185,10,4
ground_state,seeqst,hopping,3000,0.17195906264853975,0.05401146840652113,129.77504714905024,9.954721483056348,0.3675191464393303,0.09428589429765247,10,4
ground_state,seeqst,z_single,10,0.36952731873478933,0.06949102227704555,1.25,0.10163276099268327,0.65,0.21514706827758998,6,4
ground_state,seeqst,z_single,30,0.233816278153135,0.0713954115887199,1.4038314176245212,0.16774901416054214,0.3849765307866164,0.12123583431567984,6,4
ground_state,seeqst,z_single,100,0.10023444450346274,0.03576587456049658,1.4289225589225585,0.08107782326684526,0.1744620638692405,0.0565769756422058,6,4
ground_state,seeqst,z_single,300,0.08186222562247411,0.026638705330535396,1.3747640282422902,0.05825823030203464,0.12,0.03027984568168681,6,4
ground_state,seeqst,z_single,1000,0.03254321092360317,0.006030953217803469,1.4015448782115525,0.022381621793074742,0.04863773283191486,0.00941930842030682,6,4
ground_state,seeqst,z_single,3000,0.02037642055187966,0.0024295448143151987,1.4081187988588684,0.01804990618933444,0.03370059795927832,0.003876359654736568,6,4
ground_state,seeqst,zz_long_range,10,0.3312706003514186,0.0989586226362281,1.5333333333333332,0.05106277908033803,0.6638974312622985,0.20291093288262377,10,4
ground_state,seeqst,zz_long_range,30,0.17626195708515396,0.019175694596242458,1.5770114942528737,0.16033962281614358,0.32479148457955576,0.050975863521663424,10,4
ground_state,seeqst,zz_long_range,100,0.12243269721335916,0.026069165744100505,1.5480404040404043,0.10956171259670229,0.20086290404341184,0.037168314174991564,10,4
ground_state,seeqst,zz_long_range,300,0.08116398493522048,0.03875309212708234,1.505322185061316,0.06392737669893996,0.15341146942792566,0.07393346054391668,10,4
ground_state,seeqst,zz_long_range,1000,0.03122224659727736,0.006397032445373453,1.5756178178178213,0.018187441675501643,0.05669385529425977,0.019473738830712295,10,4
ground_state,seeqst,zz_long_range,3000,0.02349401317034538,0.011225318565880396,1.5686564632655364,0.020134691990094013,0.04325289947732132,0.022878575610349613,10,4
neel,clifford,hopping,10,1.9177893955006147,1.4621143751455137,52.8124999999998,53.163417481698,4.874999999999991,3.249999999999994,10,4
neel,clifford,hopping,30,1.5400181815689802,0.6609584515358669,80.97916666666634,46.14506722425342,3.2499999999999942,1.2509255832441868,10,4
neel,clifford,hopping,100,1.0326313772104014,0.26657691523097243,69.28573232323203,24.270802195319586,2.1124999999999963,0.6223276200416189,10,4
neel,clifford,hopping,300,0.4459709820987223,0.1608375983927762,64.0744565217389,7.715868675064253,0.7583333333333322,0.37527767497325604,10,4
neel,clifford,hopping,1000,0.25569555872829136,0.04895278332742911,64.63996246246195,5.943213945428684,0.5199999999999991,0.23133669546067792,10,4
neel,clifford,hopping,3000,0.15613672317677832,0.018873509087301246,66.68216488829555,2.345743334175659,0.3358333333333327,0.05157698309503162,10,4
neel,clifford,z_single,10,3.0198115486944452,0.741159641257421,123.22916666666623,67.41882550450867,5.499999999999988,4.2285750773764915e-15,6,4
