repeat,state_type,ensemble,n,n_sample,term_group,num_terms,rmse,mean_variance,max_error
1,neel,clifford,6,300,zz_long_range,10,0.5925228546928225,73.23804347826051,1.5999999999999956
1,neel,clifford,6,300,hopping,10,0.26536138880151056,55.03804347826076,0.43333333333333274
1,neel,clifford,6,1000,z_single,6,0.35007737240025394,65.7807265598935,0.4949999999999968
1,neel,clifford,6,1000,zz_long_range,10,0.24772464552401552,72.67380630630606,0.5599999999999967
1,neel,clifford,6,1000,hopping,10,0.2213820227570428,56.62261261261216,0.38999999999999924
1,neel,clifford,6,3000,z_single,6,0.21017849556983725,61.94647382460827,0.3066666666666683
1,neel,clifford,6,3000,zz_long_range,10,0.06342756148202085,64.48997360231232,0.10499999999999843
1,neel,clifford,6,3000,hopping,10,0.1699141940313793,64.07165305101606,0.3466666666666659
1,neel,seeqst,6,10,z_single,6,0.2581988897471611,1.037037037037037,0.4
1,neel,seeqst,6,10,zz_long_range,10,0.2683281572999747,1.031111111111111,0.4
1,neel,seeqst,6,10,hopping,10,0.0,0.0,0.0
1,neel,seeqst,6,30,z_single,6,0.20905430802474195,0.9892720306513408,0.33333333333333326
1,neel,seeqst,6,30,zz_long_range,10,0.2231093404090868,0.9829885057471264,0.5333333333333334
1,neel,seeqst,6,30,hopping,10,1.9081113407998205,109.22666666666657,4.266666666666667
1,neel,seeqst,6,100,z_single,6,0.15811388300841894,0.9848484848484849,0.24
1,neel,seeqst,6,100,zz_long_range,10,0.12231107881136524,0.9949898989898992,0.26
1,neel,seeqst,6,100,hopping,10,0.5724334022399462,98.9659797979798,1.28
1,neel,seeqst,6,300,z_single,6,0.06666666666666671,0.9988851727982166,0.1266666666666667
1,neel,seeqst,6,300,zz_long_range,10,0.052323778320929555,1.0005975473801576,0.10666666666666669
1,neel,seeqst,6,300,hopping,10,0.4673899157377418,87.45439464882939,0.8533333333333334
1,neel,seeqst,6,1000,z_single,6,0.027104735133674854,1.0002655989322744,0.04200000000000004
1,neel,seeqst,6,1000,zz_long_range,10,0.024690078979217565,1.000390790790791,0.04400000000000004
1,neel,seeqst,6,1000,hopping,10,0.14021697472132252,124.62336256256265,0.256
1,neel,seeqst,6,3000,z_single,6,0.01972214397480562,0.9999443518209855,0.03066666666666662
1,neel,seeqst,6,3000,zz_long_range,10,0.015648926125740655,1.0000884739357692,0.03266666666666662
1,neel,seeqst,6,3000,hopping,10,0.1478016689125442,122.35280560187005,0.21333333333333335
2,ground_state,pauli,6,10,z_single,6,0.3941049995208725,1.966666666666664,0.8454352198631632
2,ground_state,pauli,6,10,zz_long_range,10,0.6566967103095522,2.6099999999999968,0.8771620594577628
2,ground_state,pauli,6,10,hopping,10,0.8255700388042567,7.28999999999999,2.261114518656616
2,ground_state,pauli,6,30,z_single,6,0.12876549926516984,1.968965517241377,0.2454352198631634
2,ground_state,pauli,6,30,zz_long_range,10,0.30127487328578667,4.962413793103446,0.6360403100775
2,ground_state,pauli,6,30,hopping,10,0.6446768157909996,9.88758620689654,1.3611145186566167
2,ground_state,pauli,6,100,z_single,6,0.14587264411379217,2.1512121212121187,0.2967165246598744
2,ground_state,pauli,6,100,zz_long_range,10,0.23412117430892734,7.89463636363636,0.5589712891122827
2,ground_state,pauli,6,100,hopping,10,0.3116627712169756,8.576181818181817,0.5511145186566174
2,ground_state,pauli,6,300,z_single,6,0.038422051180522124,2.311538461538461,0.08671652465987456
2,ground_state,pauli,6,300,zz_long_range,10,0.07879649024204152,8.558187290969869,0.11090876974708452
2,ground_state,pauli,6,300,hopping,10,0.17369742896514861,8.844802675585274,0.27504368490160386
2,ground_state,pauli,6,1000,z_single,6,0.04462135995064023,2.343135135135144,0.09800800967629553
2,ground_state,pauli,6,1000,zz_long_range,10,0.10744127700154169,8.543408108108139,0.20191630249244463
2,ground_state,pauli,6,1000,hopping,10,0.0707690304895783,8.708748648648578,0.16704368490160387
2,ground_state,pauli,6,3000,z_single,6,0.015130465624743078,2.379357452484119,0.020283475340125423
2,ground_state,pauli,6,3000,zz_long_range,10,0.02776994525376522,8.51289563187731,0.04490876974708452
2,ground_state,pauli,6,3000,hopping,10,0.0643182835332342,8.701073657886026,0.14904368490160397
2,ground_state,clifford,6,10,z_single,6,2.4535989741037847,70.4166666666664,5.752008009676283
2,ground_state,clifford,6,10,zz_long_range,10,0.6676931539905613,3.2548216060144286e-32,0.8771620594577628
2,ground_state,clifford,6,10,hopping,10,2.725711455341203,84.4999999999997,6.055043684901592
2,ground_state,clifford,6,30,z_single,6,1.0409190704984328,46.944444444444265,1.4186746763429592
2,ground_state,clifford,6,30,zz_long_range,10,1.4875936241321788,84.49999999999966,2.90613135298546
2,ground_state,clifford,6,30,hopping,10,1.477091199237053,55.36206896551698,3.8179237742220358
2,ground_state,clifford,6,100,z_single,6,0.6448519537725348,28.308922558922358,0.8454352198631634
2,ground_state,clifford,6,100,zz_long_range,10,0.7958875267653488,63.374999999999645,1.3894646863187963
2,ground_state,clifford,6,100,hopping,10,0.7989323286573846,45.96287878787859,1.5050436849016
2,ground_state,clifford,6,300,z_single,6,0.41278378101185564,44.34601449275326,0.5313253236570381
2,ground_state,clifford,6,300,zz_long_range,10,0.29993585328831884,67.23260869565193,0.5580225984750894
2,ground_state,clifford,6,300,hopping,10,0.4026149601889319,64.67971014492744,0.89444785198995
2,ground_state,clifford,6,1000,z_single,6,0.29859287141917784,63.58434684684678,0.5529919903237047
2,ground_state,clifford,6,1000,zz_long_range,10,0.1997251409334789,67.53867617617568,0.3655353136812006
2,ground_state,clifford,6,1000,hopping,10,0.15817878984940556,66.58413913913861,0.26611451865661795
2,ground_state,clifford,6,3000,z_single,6,0.16301144084444333,62.32982475639889,0.27132532365703865
2,ground_state,clifford,6,3000,zz_long_range,10,0.0626044833489034,64.77765116149729,0.11269537755438475
2,ground_state,clifford,6,3000,hopping,10,0.12116473333772858,63.19241913971298,0.23374289244462404
2,ground_state,seeqst,6,10,z_single,6,0.46263866628476863,1.3555555555555554,0.9545647801368369
2,ground_state,seeqst,6,10,zz_long_range,10,0.42371988415133943,1.6088888888888888,0.8746892651417583
2,ground_state,seeqst,6,10,hopping,10,0.4774710192785315,0.0,0.5154095591112902
2,ground_state,seeqst,6,30,z_single,6,0.2543855277433749,1.5264367816091955,0.4878981134701701
2,ground_state,seeqst,6,30,zz_long_range,10,0.15391745384483266,1.731494252873563,0.31624963582577814
2,ground_state,seeqst,6,30,hopping,10,0.4774710192785315,0.0,0.5154095591112902
2,ground_state,seeqst,6,100,z_single,6,0.11290902685662128,1.5352861952861954,0.22328347534012538
2,ground_state,seeqst,6,100,zz_long_range,10,0.10185667008606056,1.7000404040404042,0.1794646863187973
2,ground_state,seeqst,6,100,hopping,10,0.8898029039079766,32.767999999999994,1.7411145186566175
2,ground_state,seeqst,6,300,z_single,6,0.10522885174537179,1.4521887774061704,0.13465865699037105
2,ground_state,seeqst,6,300,zz_long_range,10,0.04023594774092293,1.579888517279822,0.0975754364137511
2,ground_state,seeqst,6,300,hopping,10,0.7710871285096298,108.56911482720177,1.2617103515682708
2,ground_state,seeqst,6,1000,z_single,6,0.03763285645757702,1.4116456456456496,0.057283475340125345
2,ground_state,seeqst,6,1000,zz_long_range,10,0.029761023330458745,1.5930186186186284,0.047028710887717096
2,ground_state,seeqst,6,1000,hopping,10,0.4425409191097067,137.27135135135038,0.8451145186566175
2,ground_state,seeqst,6,3000,z_single,6,0.02400871101168466,1.3974755288799916,0.03799199032370437
2,ground_state,seeqst,6,3000,zz_long_range,10,0.022229432136159025,1.553230276758902,0.04048747085834281
2,ground_state,seeqst,6,3000,hopping,10,0.22417518239242162,116.57242405246056,0.4659237742220431
2,neel,pauli,6,10,z_single,6,0.3937003937005901,2.2166666666666646,0.49999999999999933
2,neel,pauli,6,10,zz_long_range,10,0.6978538528947156,11.069999999999991,1.6999999999999988
2,neel,pauli,6,10,hopping,10,0.6971370023173344,6.659999999999991,0.8999999999999992
2,neel,pauli,6,30,z_single,6,0.2121320343559641,2.039655172413791,0.40000000000000024
2,neel,pauli,6,30,zz_long_range,10,0.6648308055437862,8.397931034482752,1.399999999999999
2,neel,pauli,6,30,hopping,10,0.5692099788303079,8.602758620689645,0.8999999999999996
2,neel,pauli,6,100,z_single,6,0.17521415467935225,2.0093939393939366,0.28000000000000014
2,neel,pauli,6,100,zz_long_range,10,0.35141143976825795,8.076272727272714,0.7099999999999997
2,neel,pauli,6,100,hopping,10,0.26546186166754704,9.337909090909083,0.4499999999999996
2,neel,pauli,6,300,z_single,6,0.09237604307034022,1.957993311036785,0.13000000000000023
2,neel,pauli,6,300,zz_long_range,10,0.1755562587890276,7.124929765886293,0.31000000000000005
2,neel,pauli,6,300,hopping,10,0.13910427743243545,9.326739130434788,0.2399999999999998
2,neel,pauli,6,1000,z_single,6,0.04407947368106844,1.9730300300300367,0.09400000000000008
2,neel,pauli,6,1000,zz_long_range,10,0.07419231766160166,7.69909459459457,0.15400000000000014
2,neel,pauli,6,1000,hopping,10,0.08868539902374005,9.421856756756746,0.12599999999999995
2,neel,pauli,6,3000,z_single,6,0.04156119985435139,1.9929369789930025,0.06699999999999995
2,neel,pauli,6,3000,zz_long_range,10,0.05405090193512042,7.973836445481689,0.09100000000000019
2,neel,pauli,6,3000,hopping,10,0.03657047989840985,9.08989256418791,0.05999999999999999
2,neel,clifford,6,10,z_single,6,3.278719262150994,140.83333333333283,5.4999999999999885
