state_type,n,k,ensemble,pauli_index,pauli_label,true_value,empirical_mean,abs_bias,empirical_var,theory_var_bound,sample_complexity_eps,num_shots
ghz,3,2,pauli,1,IZZ,0.9999999999999998,1.05,0.050000000000000266,8.375418060200634,9.0,837.5418060200632,300
ghz,3,2,pauli,2,XXI,0.0,0.0,0.0,8.127090301003342,9.0,812.7090301003341,300
ghz,3,2,pauli,3,YZI,0.0,0.26999999999999996,0.26999999999999996,7.241237458193959,9.0,724.1237458193958,300
ghz,3,2,pauli,4,ZIX,0.0,0.05999999999999994,0.05999999999999994,9.207090301003346,9.0,920.7090301003344,300
ghz,3,2,pauli,5,ZIX,0.0,0.05999999999999994,0.05999999999999994,9.207090301003346,9.0,920.7090301003344,300
ghz,3,2,clifford,0,IYY,0.0,-0.03,0.03,6.771672240802665,24.0,677.1672240802664,300
ghz,3,2,clifford,1,IZZ,0.9999999999999998,0.9899999999999994,0.010000000000000342,7.956421404682272,24.0,795.6421404682271,300
ghz,3,2,clifford,2,XXI,0.0,0.1499999999999998,0.1499999999999998,6.750000000000008,24.0,675.0000000000007,300
ghz,3,2,clifford,3,YZI,0.0,-0.1799999999999998,0.1799999999999998,8.094581939799342,24.0,809.4581939799341,300
ghz,3,2,clifford,4,ZIX,0.0,0.029999999999999888,0.029999999999999888,8.938896321070214,24.0,893.8896321070212,300
ghz,3,2,clifford,5,ZIX,0.0,0.029999999999999888,0.029999999999999888,8.938896321070214,24.0,893.8896321070212,300
ghz,3,2,seeqst,0,IYY,0.0,0.16,0.16,16.241872909698948,,1624.1872909698945,300
ghz,3,2,seeqst,1,IZZ,0.9999999999999998,1.0866666666666667,0.08666666666666689,0.995808249721289,,99.58082497212888,300
ghz,3,2,seeqst,2,XXI,0.0,-0.05333333333333334,0.05333333333333334,12.839955406911834,,1283.9955406911831,300
ghz,3,2,seeqst,3,YZI,0.0,-0.21333333333333335,0.21333333333333335,17.07808249721289,,1707.8082497212886,300
ghz,3,2,seeqst,4,ZIX,0.0,-0.37333333333333335,0.37333333333333335,16.127714604236232,,1612.7714604236228,300
ghz,3,2,seeqst,5,ZIX,0.0,-0.37333333333333335,0.37333333333333335,16.127714604236232,,1612.7714604236228,300
ghz,3,3,pauli,0,XYX,0.0,0.3599999999999999,0.3599999999999999,24.25123745819414,27.0,2425.1237458194137,300
ghz,3,3,pauli,1,ZZZ,0.0,0.0,0.0,24.381270903010034,27.0,2438.1270903010027,300
ghz,3,3,pauli,2,ZYY,0.0,0.4499999999999998,0.4499999999999998,41.244983277591736,27.0,4124.498327759173,300
ghz,3,3,pauli,3,ZYX,0.0,0.08999999999999998,0.08999999999999998,41.4400334448157,27.0,4144.003344481569,300
ghz,3,3,pauli,4,XXX,0.9999999999999998,1.1699999999999997,0.16999999999999993,30.322173913043613,27.0,3032.2173913043607,300
ghz,3,3,pauli,5,YZX,0.0,-0.2699999999999999,0.2699999999999999,21.870000000000076,27.0,2187.0000000000073,300
ghz,3,3,clifford,0,XYX,0.0,-0.059999999999999915,0.059999999999999915,11.374314381270883,24.0,1137.431438127088,300
